GROUP, NAME, COST, DESC
CAFÉ ESPRESSO, CURTO 30 ml, 5, 
CAFÉ ESPRESSO, DUPLO 60 ml, 7,
CAFÉ ESPRESSO, CARIOCA 90 ml, 9,
COADO, CAFÉS ESPECIAIS COADOS, 12, "Peça nossa tábua de cafés e escolha o seu. Métodos v60 e aeropress"
RITUAL, RITUAL DO CAFEQUIZADOR, 15, "Faça uma imersão no mundo dos cafés e descubra as principais diferenças entre especiais, tradicionais e gourmet. Acompanha um café da nossa tábua de cafés especiais."

BEBIDA QUENTE, LATTE 100ml, 8, "leite, espresso e crema de leite"
BEBIDA QUENTE, MACHIATTO 60ml, 8, "café espresso e crema de leite"
BEBIDA QUENTE, PINGADO 100ml, 6, "leite e café espresso"
BEBIDA QUENTE, MOCHA 230ml, 10, "leite, café espresso, chocolate e crema de leite"
BEBIDA QUENTE, SUBMARINO 180 ml, 8, "leite e chocolate"
BEBIDA QUENTE, CANELINHA 180ml, 10, "leite, café espresso, crema de leite e canela em pó"
BEBIDA QUENTE, CHOCOLATE EUROPEU, 12,

CAPUCCINO, ITALIANO 180ml, 10, "leite, café espresso e leite vaporizado"
CAPUCCINO, TRADICIONAL 180ml, 12, "leite, café espresso, chocolate ao leite e leite vaporizado"
CAPUCCINO, DOCE DE LEITE 180ml, 14, "leite, cacau em pó, canela em pó, chantilly e doce de leite em toda a borda"
CAPUCCINO, BRIGADEIRO 180ml, 14, "leite, cacau em pó, canela em pó, chantilly e brigadeiro em toda a borda"
CAPUCCINO, NUTELLA 180ml, 14, "leite, cacau em pó, canela em pó, chantilly e Nutella em toda a borda"

ESPRESSO TÔNICA, LIMÃO SICILIANO 480ml, 14, "espresso, essência de limão siciliano, água tônica e gelo"
ESPRESSO TÔNICA, FRUTAS VERMELHAS 480ml, 14, "espresso, essência de frutas vermelhas, água tônica e gelo"
ESPRESSO TÔNICA, TANGERINA 480ml, 14, "espresso, essência de tangerina, água tônica e gelo"
ESPRESSO TÔNICA, GENGIBRE 480ml, 14, "espresso, essência de gengibre, água tônica e gelo"
ESPRESSO TÔNICA, MAÇÃ VERDE 480ml, 14, "espresso, essência de maçã verde, água tônica e gelo"
GIN TÔNICA, LIMÃO SICILIANO 480ml, 16, "espresso, essência de limão siciliano, gin tônica e gelo"
GIN TÔNICA, FRUTAS VERMELHAS 480ml, 16, "espresso, essência de frutas vermelhas, gin tônica e gelo"
